order_id,customer_id,product_name,price,quantity,order_date
1001,C001,Laptop,1200,1,2026-05-01
1002,C002,Mouse,25,2,2026-05-01
1003,C003,Keyboard,75,1,2026-05-01
1004,,Monitor,300,1,2026-05-01
1005,C005,Headphones,-50,1,2026-05-01
, C006,Webcam,80,1,2026-05-01
1007,C007,USB Cable,15,3,2026-05-01
1008,C008,Desk Chair,250,1,2026-05-01
1009,C009,External HDD,150,1,2026-05-01
1010,C010,Laptop Stand,45,2,2026-05-01
1011,C011,Monitor,300,1,2026-05-01
1011,C011,Monitor,300,1,2026-05-01
1012,C012,Phone Charger,20,2,2026-05-01
1013,C013,Tablet,450,1,2026-05-01
1014,C014,Smart Watch,0,1,2026-05-01
1015,C015,Printer,220,1,2026-05-01
1016,,Router,130,1,2026-05-01
1017,C017,SSD,180,1,2026-05-01
1018,C018,RAM,95,2,2026-05-01
1019,C019,Graphics Card,850,1,2026-05-01
1020,C020,Microphone,110,1,2026-05-01
